client_id,client_name,client_type,sector,sector_risk,country,pep_flag,sanctions_flag,fatf_country_flag,ofac_country_flag,sectoral_sanctions_flag,ownership_opacity_score,total_transactions,total_amount,avg_amount,ofac_matches,fatf_txn_flags,structuring_flags,rapid_movement_flags,trade_mispricing_flags,unique_counterparty_countries,client_country,composite_risk_score,risk_tier,kyc_risk_flag,sector_risk_enc,risk_score,risk_level,recommended_action
1,Wells-Turner,Financial Institution,NGO/Charity,High,JP,0,0,0,0,0,0.0,26,261181.94,10045.459230769233,0,0,0,1,0,12,JP,0.0,Low,0,2,0.0039423984,Low Risk,No action required
2,"Goodman, Hendrix and Garcia",Financial Institution,Import/Export,Medium,CH,0,0,0,0,0,0.0,28,59430.99,2122.5353571428573,0,0,0,0,0,10,CH,0.0,Low,0,1,0.0023524046,Low Risk,No action required
3,Phillips-Hanson,NGO,NGO/Charity,High,AE,0,1,0,0,0,0.5,25,61924.06,2476.9624,22,7,0,1,0,8,AE,52.0,Critical,1,2,0.9977684,Critical,Compliance team intervention
4,"Kim, Anderson and Espinoza",Financial Institution,Defense/Arms,High,RU,1,0,0,1,1,0.0,29,210226.5,7249.189655172414,1,0,0,2,0,12,RU,8.5,High,1,2,0.9979023,Critical,Compliance team intervention
5,Marks-Thompson,Financial Institution,Financial Services,Medium,AU,0,0,0,0,1,0.0,22,61420.28,2791.830909090909,0,0,0,0,0,10,AU,1.5,Low,0,1,0.0025014707,Low Risk,No action required
6,Jones Inc,Corporate,NGO/Charity,High,AE,0,0,0,0,0,1.0,23,181771.64,7903.114782608695,0,0,1,2,0,11,AE,11.5,Critical,1,2,0.99587834,Critical,Compliance team intervention
7,Lambert-Ruiz,Individual,Energy/Oil,High,US,0,0,0,0,1,0.0,26,85070.08,3271.9261538461537,1,1,1,1,0,13,US,5.0,Medium,1,2,0.9984686,Critical,Compliance team intervention
8,Thompson Inc,NGO,Consulting,Low,CA,0,0,0,0,0,0.0,26,43633.21,1678.2003846153846,2,2,0,1,0,14,CA,4.0,Medium,1,0,0.9985796,Critical,Compliance team intervention
9,Vega-Randall,NGO,Financial Services,Medium,US,0,0,0,0,1,1.0,17,38554.41,2267.906470588235,0,0,0,0,0,11,US,11.5,Critical,1,1,0.99404067,Critical,Compliance team intervention
10,Edwards PLC,Corporate,Casino/Gambling,High,SY,0,0,0,1,0,0.5,25,327501.73,13100.0692,0,0,0,0,0,13,SY,7.0,High,1,2,0.997919,Critical,Compliance team intervention
11,Solis-Kemp,NGO,NGO/Charity,High,AF,0,0,0,0,0,0.0,22,242607.88,11027.630909090907,1,0,0,2,0,10,AF,2.0,Low,1,2,0.99790263,Critical,Compliance team intervention
12,Stein-Davis,NGO,Import/Export,Medium,SD,0,0,0,1,0,0.5,20,35571.72,1778.586,0,0,0,1,0,11,SD,7.0,High,1,1,0.996007,Critical,Compliance team intervention
13,Gonzalez-Jenkins,Financial Institution,Retail,Low,NL,0,0,0,0,0,0.0,26,46490.71,1788.1042307692308,1,0,0,0,0,12,NL,2.0,Low,1,0,0.9978052,Critical,Compliance team intervention
14,Harris-Walker,Individual,Real Estate,Medium,RU,0,0,0,1,0,0.0,31,63146.91,2036.9970967741936,0,0,0,2,0,11,RU,2.0,Low,0,1,0.0045560985,Low Risk,No action required
15,"Adkins, Howard and Mcdonald",Corporate,Energy/Oil,High,SG,0,0,0,0,1,0.0,25,131889.93,5275.5972,2,1,0,1,0,13,SG,5.5,High,1,2,0.9982653,Critical,Compliance team intervention
16,Estrada Ltd,Financial Institution,Energy/Oil,High,IR,0,0,1,1,1,0.0,21,194140.84,9244.801904761904,0,0,1,1,0,10,IR,7.0,High,1,2,0.991901,Critical,Compliance team intervention
17,"Stein, Webb and Smith",Financial Institution,Defense/Arms,High,NL,0,0,0,0,1,0.0,33,187925.78,5694.720606060606,0,0,0,1,0,13,NL,1.5,Low,0,2,0.0030869467,Low Risk,No action required
18,"Christian, Shepard and Wells",Financial Institution,Tech,Low,AE,1,0,0,0,0,0.0,24,80256.20999999999,3344.0087499999995,0,0,0,0,0,12,AE,3.0,Medium,1,0,0.9863733,Critical,Compliance team intervention
19,"James, Allen and Kim",Financial Institution,Defense/Arms,High,IN,0,0,0,0,1,0.0,26,249200.71,9584.642692307692,0,0,1,2,0,12,IN,3.0,Medium,0,2,0.0038379543,Low Risk,No action required
20,"Martinez, Griffin and Cox",Individual,Energy/Oil,High,DE,0,0,0,0,1,0.0,22,69781.13,3171.869545454545,1,1,0,2,0,12,DE,3.5,Medium,1,2,0.99790394,Critical,Compliance team intervention
21,Randall-Jones,Corporate,Consulting,Low,JP,0,0,0,0,0,0.5,22,37444.68,1702.030909090909,0,0,0,0,0,11,JP,5.0,Medium,1,0,0.9932238,Critical,Compliance team intervention
22,"Silva, Cherry and Klein",Individual,Casino/Gambling,High,UK,0,0,0,0,0,0.0,25,253158.09,10126.3236,1,0,0,1,0,12,UK,2.0,Low,1,2,0.99816173,Critical,Compliance team intervention
23,Williams-Phillips,NGO,Financial Services,Medium,FR,0,0,0,0,1,0.5,28,53613.33,1914.7617857142857,1,1,0,1,0,13,FR,8.5,High,1,1,0.99894947,Critical,Compliance team intervention
24,"Frost, Hill and Kaufman",Corporate,Casino/Gambling,High,SY,0,0,0,1,0,0.0,24,199372.38,8307.1825,0,0,1,0,0,10,SY,3.5,Medium,0,2,0.008647264,Low Risk,No action required
25,Shields PLC,Financial Institution,Crypto Exchange,High,SG,0,0,0,0,0,0.0,31,127938.62,4127.0522580645165,0,0,1,1,0,13,SG,1.5,Low,0,2,0.0031591994,Low Risk,No action required
26,Calderon Group,NGO,Crypto Exchange,High,IR,0,0,1,1,0,0.0,23,143706.19,6248.095217391305,0,0,0,2,0,11,IR,4.0,Medium,1,2,0.99141484,Critical,Compliance team intervention
27,"Bush, Stephens and York",Financial Institution,Energy/Oil,High,LB,0,0,0,0,1,0.0,31,264792.91,8541.706774193548,1,1,0,0,0,13,LB,3.5,Medium,1,2,0.9980111,Critical,Compliance team intervention
